#code;product-code;x;y;level;
C02250;P0421;1;1;1;
C02127;P0479;1;1;2;
C03895;P0017;1;1;3;
C02799;P0016;1;1;4;
C04208;P0014;1;1;5;
C03506;P0071;1;1;6;
C03460;P0336;1;1;7;
C01792;P0225;1;1;8;
C02683;P0125;1;1;9;
C04716;P0123;1;1;10;
C02987;P0020;1;1;11;
C03499;P0326;1;1;13;
C03507;P0475;1;1;14;
C01692;P0497;1;1;15;
C02215;P0334;1;1;17;
C01998;P0409;1;1;18;
C04681;P0391;1;1;19;
C04442;P0153;1;1;20;
C02566;P0016;1;2;1;
C01829;P0304;1;2;2;
C00971;P0401;1;2;3;
C00450;P0054;1;2;5;
C00576;P0154;1;2;6;
C02792;P0264;1;2;7;
C00960;P0214;1;2;8;
C02864;P0363;1;2;9;
C04875;P0495;1;2;10;
C00372;P0027;1;2;11;
C04509;P0121;1;2;12;
C02546;P0099;1;2;13;
C00073;P0307;1;2;14;
C00803;P0466;1;2;15;
C01132;P0027;1;2;16;
C04601;P0359;1;2;19;
C01572;P0389;1;2;20;
C00664;P0009;1;3;1;
C00306;P0228;1;3;3;
C02962;P0026;1;3;5;
C01363;P0237;1;3;6;
C00930;P0430;1;3;7;
C00067;P0386;1;3;8;
C04861;P0465;1;3;9;
C03844;P0032;1;3;10;
C00264;P0160;1;3;11;
C01744;P0177;1;3;13;
C02726;P0140;1;3;14;
C00673;P0201;1;3;15;
C00227;P0439;1;3;16;
C00872;P0319;1;3;17;
C03361;P0397;1;3;20;
C04851;P0425;1;4;2;
C04536;P0271;1;4;3;
C02024;P0392;1;4;4;
C00790;P0431;1;4;5;
C00370;P0461;1;4;6;
C04300;P0373;1;4;7;
C01022;P0242;1;4;8;
C04638;P0299;1;4;9;
C01266;P0478;1;4;11;
C04297;P0037;1;4;12;
C03718;P0392;1;4;13;
C04825;P0175;1;4;15;
C00358;P0127;1;4;16;
C04434;P0368;1;4;17;
C00610;P0432;1;4;18;
C03523;P0200;1;4;19;
C04177;P0355;1;4;20;
C01391;P0350;1;5;2;
C04496;P0234;1;5;3;
C02931;P0444;1;5;4;
C03178;P0305;1;5;5;
C02570;P0384;1;5;7;
C01361;P0241;1;5;8;
C03732;P0366;1;5;9;
C04841;P0144;1;5;10;
C00337;P0446;1;5;11;
C04565;P0346;1;5;12;
C05078;P0302;1;5;13;
C03797;P0031;1;5;14;
C03078;P0237;1;5;15;
C02158;P0111;1;5;16;
C02293;P0111;1;5;18;
C03586;P0104;1;5;19;
C03663;P0410;1;5;20;
C01876;P0146;1;6;1;
C01382;P0349;1;6;2;
C00440;P0148;1;6;3;
C00324;P0376;1;6;4;
C03384;P0055;1;6;6;
C03550;P0170;1;6;7;
C02617;P0048;1;6;8;
C03889;P0021;1;6;9;
C03599;P0149;1;6;10;
C01284;P0212;1;6;11;
C03645;P0476;1;6;12;
C00161;P0092;1;6;13;
C03032;P0272;1;6;14;
C04813;P0011;1;6;15;
C04077;P0113;1;6;16;
C02426;P0347;1;6;17;
C02526;P0335;1;6;18;
C00591;P0322;1;6;19;
C04293;P0284;1;6;20;
C04198;P0342;1;7;1;
C04400;P0345;1;7;2;
C02846;P0406;1;7;3;
C04484;P0114;1;7;4;
C05089;P0108;1;7;5;
C01358;P0296;1;7;6;
C01135;P0297;1;7;7;
C01366;P0053;1;7;8;
C01684;P0452;1;7;9;
C02476;P0352;1;7;10;
C03214;P0469;1;7;11;
C02320;P0348;1;7;14;
C04602;P0196;1;7;15;
C01401;P0091;1;7;16;
C01653;P0069;1;7;18;
C03253;P0047;1;7;20;
C01330;P0495;1;8;1;
C00014;P0339;1;8;2;
C00028;P0387;1;8;3;
C04784;P0064;1;8;4;
C04467;P0413;1;8;5;
C02455;P0473;1;8;6;
C04159;P0392;1;8;7;
C03695;P0177;1;8;8;
C00243;P0095;1;8;10;
C00947;P0030;1;8;12;
C03298;P0438;1;8;13;
C00474;P0080;1;8;14;
C00924;P0327;1;8;15;
C01290;P0105;1;8;16;
C03747;P0424;1;8;17;
C03577;P0350;1;8;18;
C03633;P0292;1;8;19;
C04079;P0101;1;8;20;
C00376;P0330;1;9;2;
C04280;P0125;1;9;3;
C03839;P0494;1;9;4;
C02125;P0035;1;9;5;
C01403;P0276;1;9;6;
C00518;P0155;1;9;7;
C01434;P0410;1;9;9;
C00838;P0244;1;9;10;
C04151;P0226;1;9;11;
C01845;P0118;1;9;12;
C03491;P0467;1;9;14;
C02669;P0479;1;9;15;
C01446;P0166;1;9;16;
C04952;P0396;1;9;17;
